id_cliente;cidade_cliente;estado_cliente;uf_cliente;ocupacao;faixa_idade
1;Itapecerica da Serra;São Paulo;SP;Aposentado;10. Acima de 65 anos
2;Santo André;São Paulo;SP;Assalariado;01. 18 a 24 anos
3;Mairiporã;São Paulo;SP;Assalariado;01. 18 a 24 anos
4;Itapecerica da Serra;São Paulo;SP;Assalariado;01. 18 a 24 anos
5;Barueri;São Paulo;SP;Funcionário Público;05. 41 a 45 anos
6;Cotia;São Paulo;SP;Aposentado;10. Acima de 65 anos
7;Diadema;São Paulo;SP;Militar;05. 41 a 45 anos
8;Cotia;São Paulo;SP;Militar;01. 18 a 24 anos
9;Taboão da Serra;São Paulo;SP;Autonômo;01. 18 a 24 anos
10;Mairiporã;São Paulo;SP;Assalariado;01. 18 a 24 anos
11;Taboão da Serra;São Paulo;SP;Aposentado;10. Acima de 65 anos
12;São Caetano do Sul;São Paulo;SP;Militar;04. 36 a 40 anos
13;Guarulhos;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
14;São Bernardo do Campo;São Paulo;SP;Assalariado;04. 36 a 40 anos
15;Jandira;São Paulo;SP;Empresário;01. 18 a 24 anos
16;Santo André;São Paulo;SP;Assalariado;08. 56 a 60 anos
17;São Caetano do Sul;São Paulo;SP;Assalariado;02. 26 a 30 anos
18;Diadema;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
19;Santo André;São Paulo;SP;Aposentado;10. Acima de 65 anos
20;Mairiporã;São Paulo;SP;Aposentado;10. Acima de 65 anos
21;São Caetano do Sul;São Paulo;SP;Militar;09. 61 a 65 anos
22;São Bernardo do Campo;São Paulo;SP;Funcionário Público;01. 18 a 24 anos
23;Diadema;São Paulo;SP;Aposentado;10. Acima de 65 anos
24;Cotia;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos
25;Cotia;São Paulo;SP;Funcionário Público;05. 41 a 45 anos
26;Mairiporã;São Paulo;SP;Autonômo;04. 36 a 40 anos
27;Itapecerica da Serra;São Paulo;SP;Militar;06. 46 a 50 anos
28;Mairiporã;São Paulo;SP;Assalariado;04. 36 a 40 anos
29;Carapicuíba;São Paulo;SP;Militar;08. 56 a 60 anos
30;Mairiporã;São Paulo;SP;Assalariado;05. 41 a 45 anos
31;Osasco;São Paulo;SP;Autonômo;03. 31 a 35 anos
32;Carapicuíba;São Paulo;SP;Autonômo;01. 18 a 24 anos
33;Itapecerica da Serra;São Paulo;SP;Autonômo;02. 26 a 30 anos
34;Itapevi;São Paulo;SP;Assalariado;02. 26 a 30 anos
35;Itapevi;São Paulo;SP;Empresário;02. 26 a 30 anos
36;São Bernardo do Campo;São Paulo;SP;Empresário;04. 36 a 40 anos
37;Itapevi;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
38;Carapicuíba;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
39;Diadema;São Paulo;SP;Militar;09. 61 a 65 anos
40;Cotia;São Paulo;SP;Profissional Liberal;07. 51 a 55 anos
