id_contrato;id_inadimplencia;fg_pg_em_dia;fg_atraso_30dias;fg_atraso_60dias;fg_atraso_90dias;id_cliente;cidade_cliente;estado_cliente;uf_cliente;ocupacao;faixa_idade;id_veiculo;velocidade_max;cilindradas;qtd_portas;qtd_assentos;modelo_veiculo;marca_veiculo;tipo_veiculo;valor_veiculo;vetor_caracteristica;id_vendedor_loja;nm_vendedor;nm_loja;cidade_loja;estado_loja;uf_loja;regiao_loja;id_dados_financiamento;prazo;faixa_score;id_tempo;mes;ano;qtd_veiculos;vlr_financiado;vlr_entrada;vlr_juros;vlr_operacao
1;4;1;0;0;0;347;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos;42;130;2.1;3;3;Sprinter;Mercedes-Benz;utilitário;178000;{130, 2.1, 3, 3, 5};21;Emanuelly da Luz;Viamar;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;12;Julho;2021;2;320400;35600;16020;336420
2;4;1;0;0;0;448;Rio de Janeiro;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;57;182;1.4;5;5;Polo hatch;Volkswagen;hatch;67670;{182, 1.4, 5, 5, 4};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;5;60;01_EXCELENTE;13;Agosto;2021;1;54136;13534;1624.08;55760.08
3;4;1;0;0;0;875;Curitiba;Paraná;PR;Aposentado;10. Acima de 65 anos;79;223;1.6;5;5;MINI JCW COUNTRYMAN;Mini;SUV;329990;{223, 1.6, 5, 5, 2};63;Vitor Gabriel Ribeiro;Barigui Seminovos;Curitiba;Paraná;PR;Sul;8;36;02_BOM;2;Setembro;2020;1;164995;164995;8249.75;173244.75
4;4;1;0;0;0;930;São José dos Pinhais;Paraná;PR;Empresário;07. 51 a 55 anos;4;230;2;5;5;Audi Q3;Audi;SUV;239990;{230, 2.0, 5, 5, 2};61;Luiz Henrique Rodrigues;Barigui Seminovos;Curitiba;Paraná;PR;Sul;1;12;01_EXCELENTE;11;Junho;2021;1;71997;167993;2159.91;74156.91
5;4;1;0;0;0;579;Rio de Janeiro;Rio de Janeiro;RJ;Empresário;03. 31 a 35 anos;53;283;3.4;2;4;Porsche 911;Porsche;esportivo;709000;{283, 3.4, 2, 4, 10};40;Lucas Gabriel da Rosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;3;36;01_EXCELENTE;1;Agosto;2020;1;496300;212700;14889;511189
6;4;1;0;0;0;32;Carapicuíba;São Paulo;SP;Autonômo;01. 18 a 24 anos;54;239;3;5;5;Cayenne;Porsche;SUV;527776;{239, 3.0, 5, 5, 2};9;Ana Clara Rezende;AutoStar;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;2;Setembro;2020;1;369443.2;158332.8;18472.16;387915.36
7;4;1;0;0;0;814;Curitiba;Paraná;PR;Militar;07. 51 a 55 anos;58;200;1.4;4;5;Passat;Volkswagen;sedan;164620;{200, 1.4, 4, 5, 3};63;Vitor Gabriel Ribeiro;Barigui Seminovos;Curitiba;Paraná;PR;Sul;8;36;02_BOM;9;Abril;2021;1;148158;16462;7407.9;155565.9
8;4;1;0;0;0;282;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos;31;212;2;5;5;BMW X4;BMW;SUV;444950;{212, 2.0, 5, 5, 2};30;Gabriel Martins;Caraigá;São Paulo;São Paulo;SP;Sudeste;7;24;02_BOM;10;Maio;2021;1;311465;133485;15573.25;327038.25
9;4;1;0;0;0;795;Niterói;Rio de Janeiro;RJ;Militar;05. 41 a 45 anos;15;210;1.6;4;5;BMW 3 Series;BMW;sedan;245043;{210, 1.6, 4, 5, 3};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;4;48;01_EXCELENTE;11;Junho;2021;1;220538.7;24504.3;6616.161;227154.861
10;4;1;0;0;0;172;Guarulhos;São Paulo;SP;Aposentado;10. Acima de 65 anos;95;180;1.8;5;5;Prius;Toyota;hatch;188090;{180, 1.8, 5, 5, 4};13;Renan Martins;Audi Center Alphaville;Barueri;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;13;Agosto;2021;1;131663;56427;3949.89;135612.89
